first_name, last_name, account_number, transaction_number, merchant_description, transaction_amount
Michael, Smith, 11111, 15, KROGER #2 4000 POLK HOUSTON TX, 2300, 
Wieser, Sage, 18054, 30, BIRYANI POT HOUSTON SD, 65, 
Wieser, Sage, 18054, 27, TXTAG 888 468 9824 8884689824 SD, 100, 
Vocelka, Francine, 20759, 27, CENTRAL MARKET #747 DALLAS NM, 75.06, 
Klonowski, Karl, 25770, 30, CHARLESTON S 60 MESA NJ, 246.65, 
Klonowski, Karl, 25770, 69, SAFEWAY #1980 PHOENIX NJ, 91.33, 
Amigon, Minna, 28226, 70, APPLE.COM/BILL 866-712-7753 PA, 24.99, 
Garufi, Meaghan, 31452, 57, TARGET 00014597 PEARLAND TN, 200.21, 
Foller, Donette, 37466, 95, SQ *BLACK HOLE COFFEE Houston OH, 19.57, 
Foller, Donette, 37466, 6, SQ *BLACK HOLE COFFEE Houston OH, 19.13, 
Joseph, Dark, 43991, 23, SHOPRITE MONTGOMERY S1 BRIGHTON MI, 375.5, 
Don, Fuller, 53111, 23, SHOPRITE MONTGOMERY S1 Hamilton OH, 375.5, 
Mirasca, Sam, 53222, 10, Kohls		Ashland OH, 725.51, 
